sss
GH_01_01_0001 5.
GH_01_01_0002 4 5
GH_01_01_0003 4.5
GH_01_01_0004 4.6
GH_01_01_0005 4-9
GH_01_01_0006 4.9
GH_01_01_0007 4/10
GH_01_01_0008 none
GH_01_01_0009 none
GH_01_01_0010 none - is a date 4-6-1975 ?
GH_01_01_0011 13.
GH_01_02_0001 14.
GH_01_02_0002 15.1
GH_01_02_0003 15.2
GH_01_02_0004 15-5
GH_01_02_0005 15.7
GH_01_02_0006 25 1
GH_01_02_0007 46.3
GH_01_02_0008 46.3
GH_01_02_0009 46.12
GH_01_02_0010 46.15
GH_01_02_0011 46/21
GH_01_02_0012 46/21
GH_01_02_0013 46/22b
GH_01_03_0001 62
GH_01_03_0002 66.6b
GH_01_03_0003 67.2
GH_01_03_0004 67.3
GH_01_03_0005 70.1
GH_01_03_0006 70.1
GH_01_04_0001 72.1
GH_01_04_0002 74.1
GH_01_04_0003 74.2
GH_01_04_0004 74.2
GH_01_04_0005 74.2
GH_01_04_0006 74.2
GH_01_04_0007 74-2
GH_01_04_0008 77.1
GH_01_04_0009 77.1
GH_01_04_0010 79.3
GH_01_04_0011 79.3
GH_01_04_0012 79.6
GH_01_04_0013 79.6
GH_01_05_0001 80.1
GH_01_05_0002 85-1
GH_01_05_0003 86/1
GH_01_05_0004 88.5
GH_01_05_0005 88.6
GH_01_06_0001 97-1



